0,1,2,3,4,5,6,7,8,9
Sludinājumi 	datums,Sludinājumi 	datums,Sludinājumi 	datums,Iela,Ist.,m2,Stāvs,Sērija,"Cena, m2",Cena
,,"Tikko pēc kapitāla remonta. Augstais stāvs, kā otrais. Daļa m",Katrīnas d. 24k3,3,66,1/2,Specpr.,"1,286 €","84,860 €"
,,"Tiek pārdots saulains, kluss 3 istabu dzīvoklis Rīgas centrā – T",Tērbatas 59/61,3,68,6/6,Renov.,"2,426 €","165,000 €"
,,1872. gadā arhitekta R. A. Pflūga projektētais četru stāvu dzīvo,Valdemāra 17,4,127,2/5,Renov.,"2,605 €","330,800 €"
,,Vēlies pamosties ar skatu uz Latvijas Nacionālo mākslas muzeju?,Valdemāra 17,3,75,3/5,Renov.,"2,657 €","199,238 €"
,,1872. gadā arhitekta R. A. Pflūga projektētais četru stāvu dzīvo,Valdemāra 17,1,34,4/5,Renov.,"2,626 €","89,300 €"
,,Dzīvoklis ar balkonu un skatu uz Latvijas Nacionālo mākslas muze,Valdemāra 27,2,51,3/5,Renov.,"3,922 €","200,000 €"
,,Pārdod plašu 4 - istabu dzīvokli Ādmiņu ielā 8. Dzīvoklī ir 3,Ādmiņu 8,4,109,3/5,Renov.,"1,375 €","149,900 €"
,,Продается уникальный объект недвижимости - квартира в Посольском,Elizabetes 10,3,176,4/4,Renov.,"3,352 €","590,000 €"
,,"Pārdod trīs istabu dzīvokli, kas ir sadalīts divos atsevišķos dz",Stabu 57,3,80,2/5,P. kara,"1,431 €","114,500 €"
,,"Pārdodu lielisku 3-istabu Dzīvokli, Plānojums: Priekšnams",Ģertrūdes 103,3,64,1/6,P. kara,"1,719 €","110,000 €"
,,Pārdodam praktisku 4 istabu dzīvokli pilsētas centrā. Ēku projek,Stabu 55,4,114,3/5,P. kara,"1,402 €","159,800 €"
,,Pārdodam elegantu 5 istabu dzīvokli pilsētas centrā. Dizainera v,Marijas 16,5,185,1/7,P. kara,"1,746 €","323,000 €"
,,The architectural concept of the complex combines two buildings-,Ausekļa 4,3,152,2/7,Jaun.,"2,125 €","323,000 €"
,,Pārdodam lielisku investīciju dzīvokli Dzirnavu ielā 55. Studio,Dzirnavu 55,2,70,5/5,P. kara,"1,999 €","139,900 €"
,,"Pārdodu dzīvokli. Atbrīvots, bez apgrūtinājumiem un parādiem",J. Daliņa 2,3,54,1/5,Specpr.,741 €,"40,000 €"
,,Īpašnieks pārdod skaistu 5 istabu dzīvokli tikko pēc kapitālā re,Brīvības 39a,5,118,2/6,P. kara,"2,356 €","278,000 €"
,,"Pārdošanā stilīgs, dizaineru veidotu divistabu dzīvoklis. Dzīvok",Avotu 8k1,2,62,6/6,P. kara,"2,065 €","128,000 €"
,,"Pārdod pilnībā mēbelētu, ekskluzīvu 3 istabu dzīvokli jaunajā pr",Antonijas 16A,3,108,5/7,Jaun.,"3,333 €","360,000 €"
,,"Pārdošanai tiek piedāvāts grezns, ērta plānojuma dzīvoklis renov",Pulkv. Brieža 7,3,85,2/6,P. kara,"2,941 €","250,000 €"
,,Moderns un mūsdienīgs 4 istabu dzīvoklis Rīgas centrā - Kr. Vald,Valdemāra 37a,4,145,5/6,Renov.,"2,724 €","395,000 €"
,,"Īpašnieks pārdod ļoti siltu un gaišu dzīvokli pašā Rīgas centrā,",Brīvības 60,2,38,5/7,Specpr.,"1,974 €","75,000 €"
,,"Tiek pardods 2 istabu dzīvoklis centrā - Skanstes, Zirņu iela 5",Zirņu 5k-1,2,50,5/9,467.,"1,160 €","58,000 €"
,,"Продается 2-комнатная квартира в Центре - район Skanstes, новый",Valdemāra 151,2,50,5/9,467.,"1,160 €","58,000 €"
,,Pārdod divu istabu dzīvokli ar platību 33 m2. Dzīvoklis atrodas,Zvaigžņu 2B,2,33,5/5,P. kara,"1,364 €","45,000 €"
,,"Pārdod vienistabas dzīvokli Rīgas centrā ar platību 37, 9 m2 . D",Avotu 54,1,38,3/4,P. kara,"1,724 €","65,500 €"
,,"Pārdošanā, plašs 2 istabu dzīvoklis ar augstiem griestiem pašā R",Lāčplēša 62,2,54,1/6,P. kara,778 €,"42,000 €"
,,Piedāvājumā pārdomāts 3-istabu dzīvoklis ar pilnu apdari Grīziņk,Artilērijas 65,3,60,2/3,Renov.,"2,833 €","170,000 €"
,,Tiek pārdots dzīvoklis prestižajā Ausekļa ielā. Piedāvājam izsma,Ausekļa 6a,5,143,5/5,P. kara,"2,028 €","290,000 €"
,,Piedāvājam iegādāties 103.7 kvadrātmetrus plašu un gaišu četrist,Lāčplēša 21,4,104,4/5,P. kara,"1,635 €","170,000 €"
,,Собственник без посредников продает 3 комнатную квартиру с ориги,Čaka 33,3,78,4/6,P. kara,"1,923 €","150,000 €"
